# Boore and Atkinson (2008),,,,,,,,,,,,,,,,,,,,,,,,,
# Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,
#period,e_01,e_02,e_03,e_04,e_05,e_06,e_07,m_h,c_01,c_02,c_03,h,b_lin,b_1,b_2,sig_tu,sig_tm,a_1,pga_low,a_2,v_1,v_2,v_ref,m_ref,r_ref
-1.000000,5.001210,5.047270,4.631880,5.082100,0.183220,-0.127360,0.000000,8.500000,-0.873700,0.100600,-0.003340,2.540000,-0.600000,-0.500000,-0.060000,0.576000,0.560000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.000000,-0.538040,-0.503500,-0.754720,-0.509700,0.288050,-0.101640,0.000000,6.750000,-0.660500,0.119700,-0.011510,1.350000,-0.360000,-0.640000,-0.140000,0.566000,0.564000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.010000,-0.528830,-0.494290,-0.745510,-0.499660,0.288970,-0.100190,0.000000,6.750000,-0.662200,0.120000,-0.011510,1.350000,-0.360000,-0.640000,-0.140000,0.569000,0.566000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.020000,-0.521920,-0.485080,-0.739060,-0.488950,0.251440,-0.110060,0.000000,6.750000,-0.666000,0.122800,-0.011510,1.350000,-0.340000,-0.630000,-0.120000,0.569000,0.566000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.030000,-0.452850,-0.418310,-0.667220,-0.422290,0.179760,-0.128580,0.000000,6.750000,-0.690100,0.128300,-0.011510,1.350000,-0.330000,-0.620000,-0.110000,0.578000,0.576000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.050000,-0.284760,-0.250220,-0.484620,-0.260920,0.063690,-0.157520,0.000000,6.750000,-0.717000,0.131700,-0.011510,1.350000,-0.290000,-0.640000,-0.110000,0.589000,0.589000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.075000,0.007670,0.049120,-0.205780,0.027060,0.011700,-0.170510,0.000000,6.750000,-0.720500,0.123700,-0.011510,1.550000,-0.230000,-0.640000,-0.110000,0.606000,0.606000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.100000,0.201090,0.231020,0.030580,0.221930,0.046970,-0.159480,0.000000,6.750000,-0.708100,0.111700,-0.011510,1.680000,-0.250000,-0.600000,-0.130000,0.608000,0.608000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.150000,0.461280,0.486610,0.301850,0.493280,0.179900,-0.145390,0.000000,6.750000,-0.696100,0.098840,-0.011130,1.860000,-0.280000,-0.530000,-0.180000,0.592000,0.594000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.200000,0.571800,0.592530,0.408600,0.614720,0.527290,-0.129640,0.001020,6.750000,-0.583000,0.042730,-0.009520,1.980000,-0.310000,-0.520000,-0.190000,0.596000,0.596000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.250000,0.518840,0.534960,0.338800,0.577470,0.608800,-0.138430,0.086070,6.750000,-0.572600,0.029770,-0.008370,2.070000,-0.390000,-0.520000,-0.160000,0.592000,0.592000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.300000,0.438250,0.445160,0.253560,0.519900,0.644720,-0.156940,0.106010,6.750000,-0.554300,0.019550,-0.007500,2.140000,-0.440000,-0.520000,-0.140000,0.608000,0.608000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.400000,0.392200,0.406020,0.213980,0.460800,0.786100,-0.078430,0.022620,6.750000,-0.644300,0.043940,-0.006260,2.240000,-0.500000,-0.510000,-0.100000,0.603000,0.603000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
0.500000,0.189570,0.198780,0.009670,0.263370,0.768370,-0.090540,0.000000,6.750000,-0.691400,0.060800,-0.005400,2.320000,-0.600000,-0.500000,-0.060000,0.615000,0.615000,0.030000,0.060000,0.090000,180.000000,300.000000,760.000000,4.500000,1.000000
